"date","siteID","gcc_90","rcc_90","gcc_sd","rcc_sd","radiation","max_temp","min_temp","precip"
2016-01-29,"BART",NA,NA,NA,NA,8.5915495584,1.71,-10.12,0
2016-01-30,"BART",NA,NA,NA,NA,6.5067299,2.39,-5.04,0
2016-01-31,"BART",NA,NA,NA,NA,8.5547793072,7.29,-4.2,0
2016-02-01,"BART",NA,NA,NA,NA,9.1903410495,10.82,-2.76,0
2016-02-02,"BART",NA,NA,NA,NA,7.378105839,5.26,-3.59,0
2016-02-03,"BART",NA,NA,NA,NA,6.131231988,4.7,-5.11,27.63
2016-02-04,"BART",NA,NA,NA,NA,6.6671977098,9.11,-1.96,3.01
2016-02-05,"BART",NA,NA,NA,NA,3.371363636,0.08,-4.21,7.22
2016-02-06,"BART",NA,NA,NA,NA,9.7700415075,1.91,-9.9,0
2016-02-07,"BART",NA,NA,NA,NA,9.8332730034,3.91,-7.65,0
2016-02-08,"BART",NA,NA,NA,NA,4.235618417,-3.64,-8.61,3.8
2016-02-09,"BART",NA,NA,NA,NA,7.3340994806,-2.74,-9.44,0
2016-02-10,"BART",NA,NA,NA,NA,10.698405312,0.69,-11.45,0
2016-02-11,"BART",NA,NA,NA,NA,9.904745886,-3.91,-13.93,0
2016-02-12,"BART",NA,NA,NA,NA,11.3817943415,-7.37,-20.26,0
2016-02-13,"BART",NA,NA,NA,NA,11.8682175838,-8.61,-22.46,0
2016-02-14,"BART",NA,NA,NA,NA,11.6888965668,-14.2,-26.8,0
2016-02-15,"BART",NA,NA,NA,NA,10.3547423168,-4.86,-25.36,19.07
2016-02-16,"BART",NA,NA,NA,NA,10.7492943658,7.36,-17.61,22.1
2016-02-17,"BART",NA,NA,NA,NA,6.9014431954,2.58,-3.31,0
2016-02-18,"BART",NA,NA,NA,NA,9.518882724,-1.95,-10.45,0
2016-02-19,"BART",NA,NA,NA,NA,10.7290746188,2.09,-15.61,8.37
2016-02-20,"BART",NA,NA,NA,NA,10.63620528,6.52,-10.43,3.99
2016-02-21,"BART",NA,NA,NA,NA,9.165755492,6.05,-2.01,0
2016-02-22,"BART",NA,NA,NA,NA,10.9574801366,0.82,-8.98,0
2016-02-23,"BART",NA,NA,NA,NA,13.5200666595,-1.52,-14.88,0
2016-02-24,"BART",NA,NA,NA,NA,10.6443007059,3.16,-9.81,49.89
2016-02-25,"BART",NA,NA,NA,NA,13.857041088,10.02,-2.68,0
2016-02-26,"BART",NA,NA,NA,NA,10.821505226,0.44,-7.73,0
2016-02-27,"BART",NA,NA,NA,NA,15.932065236,1.73,-13.7,0
2016-02-28,"BART",NA,NA,NA,NA,16.6136569032,8.85,-8.76,0
2016-02-29,"BART",NA,NA,NA,NA,15.5097002352,9.21,-5.14,0
2016-03-01,"BART",NA,NA,NA,NA,10.7594375028,1.96,-9.25,17.5
2016-03-02,"BART",NA,NA,NA,NA,12.2284805544,3.61,-10.11,3.65
2016-03-03,"BART",NA,NA,NA,NA,13.1770434236,-5.69,-15.12,0
2016-03-04,"BART",NA,NA,NA,NA,16.2136194264,-3.63,-16.61,0
2016-03-05,"BART",NA,NA,NA,NA,17.6160037656,0.34,-14.93,0
2016-03-06,"BART",NA,NA,NA,NA,17.495271317,3.12,-11.93,0
2016-03-07,"BART",NA,NA,NA,NA,12.1232811163,2.84,-9.46,3.48
2016-03-08,"BART",NA,NA,NA,NA,17.7650872672,9.88,-5.21,0
2016-03-09,"BART",NA,NA,NA,NA,19.2010863989,18.64,-0.89,0
2016-03-10,"BART",NA,NA,NA,NA,11.0151849516,14.7,3.5,20.82
2016-03-11,"BART",NA,NA,NA,NA,13.2265477167,9.75,0.35,0
2016-03-12,"BART",NA,NA,NA,NA,19.4236267328,13.36,-4.35,0
2016-03-13,"BART",NA,NA,NA,NA,18.3551463096,12.85,-2.43,0
2016-03-14,"BART",NA,NA,NA,NA,8.0618094045,3.94,-2.97,7.86
2016-03-15,"BART",NA,NA,NA,NA,7.3811631278,5.03,-1.1,4.69
2016-03-16,"BART",NA,NA,NA,NA,13.721414007,13.95,0.44,6.99
2016-03-17,"BART",NA,NA,NA,NA,17.9249136375,13.71,1.11,0
2016-03-18,"BART",NA,NA,NA,NA,14.2705323014,7.08,-1.72,0
2016-03-19,"BART",NA,NA,NA,NA,16.5035704462,1.84,-8.48,0
2016-03-20,"BART",NA,NA,NA,NA,20.6838558088,3.89,-10.72,0.84
2016-03-21,"BART",NA,NA,NA,NA,19.512917662,4.35,-8.32,1.49
2016-03-22,"BART",NA,NA,NA,NA,18.41781546,6.27,-5.23,0
2016-03-23,"BART",NA,NA,NA,NA,18.0367224169,7.07,-3.95,1.05
2016-03-24,"BART",NA,NA,NA,NA,6.2714648643,0.38,-3.85,3.23
2016-03-25,"BART",NA,NA,NA,NA,11.3659972768,4.09,-4.01,6.27
2016-03-26,"BART",NA,NA,NA,NA,21.8127160008,10.15,-3.93,0
2016-03-27,"BART",NA,NA,NA,NA,19.9965391,8.2,-3.63,0
2016-03-28,"BART",NA,NA,NA,NA,12.3303781354,5.47,-3.14,17
2016-03-29,"BART",NA,NA,NA,NA,10.2286040795,3.75,-1.07,0
2016-03-30,"BART",NA,NA,NA,NA,25.1051563648,12.28,-5.28,0
2016-03-31,"BART",NA,NA,NA,NA,25.4962743816,18.41,-0.97,0
2016-04-01,"BART",NA,NA,NA,NA,17.0864130791,20.07,5.63,7.6
2016-04-02,"BART",NA,NA,NA,NA,11.7123617952,8.62,0.89,2.41
2016-04-03,"BART",NA,NA,NA,NA,14.392109727,1.45,-5.25,0
2016-04-04,"BART",NA,NA,NA,NA,15.3697383792,-4.57,-11.45,1.39
2016-04-05,"BART",NA,NA,NA,NA,24.982450581,-0.38,-14.17,0
2016-04-06,"BART",NA,NA,NA,NA,20.5611170198,4.32,-13.02,2.18
2016-04-07,"BART",NA,NA,NA,NA,20.790159938,9.82,-7.25,27.17
2016-04-08,"BART",NA,NA,NA,NA,21.626130606,8.31,-1.85,0
2016-04-09,"BART",NA,NA,NA,NA,22.5345715824,5.18,-5.29,0
2016-04-10,"BART",NA,NA,NA,NA,23.6423991219,4.84,-6.31,0
2016-04-11,"BART",NA,NA,NA,NA,15.7221321864,4.77,-4.26,11.07
2016-04-12,"BART",NA,NA,NA,NA,17.5251355864,9.65,-0.84,8.62
2016-04-13,"BART",NA,NA,NA,NA,25.4287048133,9.81,-2.31,0
2016-04-14,"BART",NA,NA,NA,NA,28.7298844025,12.26,-3.86,0
2016-04-15,"BART",NA,NA,NA,NA,30.1500786879,14.36,-4.5,0
2016-04-16,"BART",NA,NA,NA,NA,30.638585915,16.57,-3.58,0
2016-04-17,"BART",NA,NA,NA,NA,31.2492367224,21.03,-2.26,0
2016-04-18,"BART",NA,NA,NA,NA,22.8659953748,20.19,-0.3,9.69
2016-04-19,"BART",NA,NA,NA,NA,22.7710666148,14.29,3.38,0
2016-04-20,"BART",NA,NA,NA,NA,28.4700596098,15.04,-0.76,0
2016-04-21,"BART",NA,NA,NA,NA,32.0597527818,23.12,-1.87,0
2016-04-22,"BART",NA,NA,NA,NA,30.2230056466,22.27,2.4,0
2016-04-23,"BART",NA,NA,NA,NA,20.6160405645,14.73,4.7,0
2016-04-24,"BART",NA,NA,NA,NA,26.97868295,11.34,-3.08,0
2016-04-25,"BART",NA,NA,NA,NA,30.1624076884,13.86,-4.26,0.73
2016-04-26,"BART",NA,NA,NA,NA,12.2915444176,4.89,-2.43,11.29
2016-04-27,"BART",NA,NA,NA,NA,27.5805573979,10.17,-4.41,0
2016-04-28,"BART",NA,NA,NA,NA,28.2736064851,11.07,-4.37,0
2016-04-29,"BART",NA,NA,NA,NA,30.1528166646,13.17,-4.3,0
2016-04-30,"BART",NA,NA,NA,NA,32.17608459,18.07,-2.77,0
2016-05-01,"BART",NA,NA,NA,NA,18.5580702653,12.04,-0.29,4.89
2016-05-02,"BART",NA,NA,NA,NA,9.3179104179,7.37,1.9,18.78
2016-05-03,"BART",NA,NA,NA,NA,16.600189648,10.49,2.94,0
2016-05-04,"BART",NA,NA,NA,NA,9.9215525292,9.54,3.67,5.48
2016-05-05,"BART",NA,NA,NA,NA,14.800840502,10.88,4.34,1.74
2016-05-06,"BART",NA,NA,NA,NA,28.2329824214,20.56,5.4,1.08
2016-05-07,"BART",NA,NA,NA,NA,18.21689412,15.32,7.16,1.23
2016-05-08,"BART",NA,NA,NA,NA,11.7532170382,12.21,5.46,3.96
2016-05-09,"BART",NA,NA,NA,NA,23.437949184,10.66,0.12,0
2016-05-10,"BART",NA,NA,NA,NA,31.7502098133,19.65,1.3,0
2016-05-11,"BART",NA,NA,NA,NA,32.8561277556,21.52,0.88,0
2016-05-12,"BART",NA,NA,NA,NA,33.6672881764,25.96,2.23,0
2016-05-13,"BART",NA,NA,NA,NA,22.8169069479,22.41,4.42,7.29
2016-05-14,"BART",NA,NA,NA,NA,20.3440006536,23.01,8.12,3.46
2016-05-15,"BART",NA,NA,NA,NA,12.0161305797,12.84,5.62,5.7
2016-05-16,"BART",NA,NA,NA,NA,19.1078844922,9.47,1.1,0
2016-05-17,"BART",NA,NA,NA,NA,29.707770681,16.58,1.29,0
2016-05-18,"BART",NA,NA,NA,NA,30.562072504,18.84,2.68,0
2016-05-19,"BART",NA,NA,NA,NA,20.5619114634,18.86,5.26,2.71
2016-05-20,"BART",NA,NA,NA,NA,32.374473559,22.34,3.29,0
2016-05-21,"BART",NA,NA,NA,NA,33.08117946,24.49,4.08,0
2016-05-22,"BART",NA,NA,NA,NA,28.34018166,22.62,8.08,0
2016-05-23,"BART",NA,NA,NA,NA,32.201956969,26.05,6.49,0
2016-05-24,"BART",NA,NA,NA,NA,16.4207400168,19.47,9.33,3.24
2016-05-25,"BART",NA,NA,NA,NA,29.5621578294,27.57,11.01,0.58
2016-05-26,"BART",NA,NA,NA,NA,30.1927623789,27.99,10.3,0
2016-05-27,"BART",NA,NA,NA,NA,26.19800982,26.4,12.46,0
2016-05-28,"BART",NA,NA,NA,NA,29.026850671,31.17,13.75,0
2016-05-29,"BART",NA,NA,NA,NA,14.6297465832,21.07,14.35,0.66
2016-05-30,"BART",NA,NA,NA,NA,27.8607538612,26.28,11.24,0
2016-05-31,"BART",NA,NA,NA,NA,28.4377109274,27.81,11.87,0
2016-06-01,"BART",NA,NA,NA,NA,28.030907268,25.15,9.66,0
2016-06-02,"BART",NA,NA,NA,NA,23.8469675493,23.21,10.91,0
2016-06-03,"BART",NA,NA,NA,NA,23.1805031094,23.8,11.65,0
2016-06-04,"BART",NA,NA,NA,NA,24.8241873876,25.93,12.15,0
2016-06-05,"BART",NA,NA,NA,NA,11.106110729,19,11.05,58.35
2016-06-06,"BART",NA,NA,NA,NA,20.4483445582,23.44,11.52,0
2016-06-07,"BART",NA,NA,NA,NA,18.056327627,24.43,9.12,4.48
2016-06-08,"BART",NA,NA,NA,NA,18.18873952,20.66,10.42,0
2016-06-09,"BART",NA,NA,NA,NA,15.5196755109,15.53,7.42,0
2016-06-10,"BART",NA,NA,NA,NA,17.9431332128,16.3,6.97,0
2016-06-11,"BART",NA,NA,NA,NA,23.061712456,17.34,4.8,1.56
2016-06-12,"BART",NA,NA,NA,NA,19.1977235872,17.87,8.1,0
2016-06-13,"BART",NA,NA,NA,NA,14.706615486,18.39,8.41,6.29
2016-06-14,"BART",NA,NA,NA,NA,21.59676633,20.69,9.17,0
2016-06-15,"BART",NA,NA,NA,NA,24.8943853404,24.28,9.47,0
2016-06-16,"BART",NA,NA,NA,NA,28.0936413702,26.19,7.09,0
2016-06-17,"BART",NA,NA,NA,NA,28.250965557,26.13,6.7,1.38
2016-06-18,"BART",NA,NA,NA,NA,28.1979713405,26.63,6.98,0
2016-06-19,"BART",NA,NA,NA,NA,28.5681394008,29.19,8.18,0
2016-06-20,"BART",NA,NA,NA,NA,26.7928497117,30.92,12.23,0
2016-06-21,"BART",NA,NA,NA,NA,22.7178671712,27.88,14.1,0
2016-06-22,"BART",NA,NA,NA,NA,17.845530208,20.94,7.32,7.86
2016-06-23,"BART",NA,NA,NA,NA,26.1627345124,23.7,7.31,0
2016-06-24,"BART",NA,NA,NA,NA,27.7719684244,25.94,7.02,0
2016-06-25,"BART",NA,NA,NA,NA,28.0409607296,27.78,7.94,0
2016-06-26,"BART",NA,NA,NA,NA,27.769985952,30.02,9.8,0
2016-06-27,"BART",NA,NA,NA,NA,25.543430352,29.26,12.23,0
2016-06-28,"BART",NA,NA,NA,NA,15.7359411,28.13,15.18,18.24
2016-06-29,"BART",NA,NA,NA,NA,14.3954670272,26.23,14.93,9.65
2016-06-30,"BART",NA,NA,NA,NA,23.9099086336,26.75,11.68,0
2016-07-01,"BART",NA,NA,NA,NA,18.9306193845,27.47,10.71,24.31
2016-07-02,"BART",NA,NA,NA,NA,19.3716432063,22.72,11.72,0
2016-07-03,"BART",NA,NA,NA,NA,25.123782476,24.04,8.03,0
2016-07-04,"BART",NA,NA,NA,NA,26.1638512213,27.65,9.52,0
2016-07-05,"BART",NA,NA,NA,NA,25.862643709,29.1,10.67,0
2016-07-06,"BART",NA,NA,NA,NA,25.4794287365,30.96,12.31,0
2016-07-07,"BART",NA,NA,NA,NA,18.334467297,26.63,15.35,1.15
2016-07-08,"BART",NA,NA,NA,NA,13.3773954563,22.64,14.93,1.06
2016-07-09,"BART",NA,NA,NA,NA,5.4004882516,16.95,13.18,16.19
2016-07-10,"BART",NA,NA,NA,NA,6.0156022986,16.58,12.37,5.92
2016-07-11,"BART",NA,NA,NA,NA,18.8223214748,23.5,12.42,0
2016-07-12,"BART",NA,NA,NA,NA,24.97812876,28,10.59,0
2016-07-13,"BART",NA,NA,NA,NA,24.8943245704,30.46,12.27,0
2016-07-14,"BART",NA,NA,NA,NA,14.885558207,28.78,15.7,24.05
2016-07-15,"BART",NA,NA,NA,NA,19.0328821539,29.2,16.75,0
2016-07-16,"BART",NA,NA,NA,NA,14.1609216,27.59,15.56,9.96
2016-07-17,"BART",NA,NA,NA,NA,13.0272737528,26.84,16.14,4.17
2016-07-18,"BART",NA,NA,NA,NA,14.519655372,27.43,15.33,8.1
2016-07-19,"BART",NA,NA,NA,NA,17.7716087684,23.75,13.46,0
2016-07-20,"BART",NA,NA,NA,NA,23.0620784331,23.71,9.31,0
2016-07-21,"BART",NA,NA,NA,NA,24.4170101929,27.01,10.42,0
2016-07-22,"BART",NA,NA,NA,NA,17.9265828816,30.51,13.44,6.46
2016-07-23,"BART",NA,NA,NA,NA,15.1421292824,28.91,15.91,9.69
2016-07-24,"BART",NA,NA,NA,NA,21.140761488,27.27,13.86,0
2016-07-25,"BART",NA,NA,NA,NA,23.8629304332,28.44,11.99,0
2016-07-26,"BART",NA,NA,NA,NA,21.710795715,28.96,14.79,0
2016-07-27,"BART",NA,NA,NA,NA,23.6977528419,29.69,13.1,0
2016-07-28,"BART",NA,NA,NA,NA,22.557989883,30.2,14.64,0
2016-07-29,"BART",NA,NA,NA,NA,19.791990544,28.1,15.48,0
2016-07-30,"BART",NA,NA,NA,NA,22.196057014,26.44,11.78,0
2016-07-31,"BART",NA,NA,NA,NA,19.3137291045,23.72,12.08,0
2016-08-01,"BART",NA,NA,NA,NA,9.570189242,20.74,13.68,3.18
2016-08-02,"BART",NA,NA,NA,NA,19.1910774954,24.31,12.75,0
2016-08-03,"BART",NA,NA,NA,NA,23.4800722305,27.7,11.17,0
2016-08-04,"BART",NA,NA,NA,NA,23.7459950764,28.92,11.57,0
2016-08-05,"BART",NA,NA,NA,NA,23.3745845216,30.04,12.78,0
2016-08-06,"BART",NA,NA,NA,NA,21.7556994837,30.42,14.9,0
2016-08-07,"BART",NA,NA,NA,NA,21.525857444,27.4,12.44,0
2016-08-08,"BART",NA,NA,NA,NA,22.0098065321,26.4,10.59,0
2016-08-09,"BART",NA,NA,NA,NA,23.2485367168,28.1,9.59,0
2016-08-10,"BART",NA,NA,NA,NA,15.4384864284,25.71,10.86,9.2
2016-08-11,"BART",NA,NA,NA,NA,21.220237078,30.75,13.98,0
2016-08-12,"BART",NA,NA,NA,NA,14.6664048881,32.5,17.21,34.5
2016-08-13,"BART",NA,NA,NA,NA,6.7256584335,22.95,17.31,10.3
2016-08-14,"BART",NA,NA,NA,NA,15.338613693,27.17,16.74,0
2016-08-15,"BART",NA,NA,NA,NA,15.5296012598,27.27,16.62,0
2016-08-16,"BART",NA,NA,NA,NA,13.3661594422,24.23,11.91,9.81
2016-08-17,"BART",NA,NA,NA,NA,15.8551948548,23.88,13.21,0
2016-08-18,"BART",NA,NA,NA,NA,18.6520553862,26.51,12.75,0
2016-08-19,"BART",NA,NA,NA,NA,19.053058312,27.71,13.12,0
2016-08-20,"BART",NA,NA,NA,NA,20.1555705456,26.91,10.97,0
2016-08-21,"BART",NA,NA,NA,NA,13.9496683825,26.71,12.62,24.78
2016-08-22,"BART",NA,NA,NA,NA,12.0078140298,21.9,13.98,0
2016-08-23,"BART",NA,NA,NA,NA,19.157112644,23.47,8.98,0
2016-08-24,"BART",NA,NA,NA,NA,20.6822262288,27.95,10.17,0
2016-08-25,"BART",NA,NA,NA,NA,18.4901352276,28,13.12,0
2016-08-26,"BART",NA,NA,NA,NA,12.6215469621,28.5,15.37,2.86
2016-08-27,"BART",NA,NA,NA,NA,18.3207314824,27.72,12.81,0
2016-08-28,"BART",NA,NA,NA,NA,17.7647782235,27.68,13.23,0
2016-08-29,"BART",NA,NA,NA,NA,15.6355327362,24.73,12.95,0
2016-08-30,"BART",NA,NA,NA,NA,18.4947001824,24.59,9.28,0
2016-08-31,"BART",NA,NA,NA,NA,12.1976412558,24.49,11.62,2.08
2016-09-01,"BART",NA,NA,NA,NA,14.5206839034,24.68,13.39,0
2016-09-02,"BART",NA,NA,NA,NA,17.4042869877,23.8,9.3,0
2016-09-03,"BART",NA,NA,NA,NA,18.5081626925,23.39,7.13,0
2016-09-04,"BART",NA,NA,NA,NA,18.448566567,24.4,7.8,0
2016-09-05,"BART",NA,NA,NA,NA,17.8337245988,25.04,8.98,0
2016-09-06,"BART",NA,NA,NA,NA,16.5971868096,25.87,11.25,0
2016-09-07,"BART",NA,NA,NA,NA,10.3117203633,25.38,14.15,3.62
2016-09-08,"BART",NA,NA,NA,NA,13.220970329,26.41,15.56,0
2016-09-09,"BART",NA,NA,NA,NA,14.8324341409,28.91,15.74,0
2016-09-10,"BART",NA,NA,NA,NA,15.7469165924,26.77,12.66,0.8
2016-09-11,"BART",NA,NA,NA,NA,10.4252366064,23.35,11.97,9.55
2016-09-12,"BART",NA,NA,NA,NA,17.4077642156,22.44,5.52,0
2016-09-13,"BART",NA,NA,NA,NA,17.8470661908,25.32,6.06,0
2016-09-14,"BART",NA,NA,NA,NA,12.2879535962,24.13,7.88,2.36
2016-09-15,"BART",NA,NA,NA,NA,16.1377883018,20.94,5.01,0
2016-09-16,"BART",NA,NA,NA,NA,17.0261838216,22.02,3.43,0
2016-09-17,"BART",NA,NA,NA,NA,12.6993120956,23.4,4.42,2.36
2016-09-18,"BART",NA,NA,NA,NA,10.7503734772,24.23,9.68,5.93
2016-09-19,"BART",NA,NA,NA,NA,6.5638427586,22.08,16.26,1.4
2016-09-20,"BART",NA,NA,NA,NA,11.0461610625,25.92,15.23,0
2016-09-21,"BART",NA,NA,NA,NA,13.587518626,25.88,11.43,0
2016-09-22,"BART",NA,NA,NA,NA,14.6841586661,27.24,10.14,0
2016-09-23,"BART",NA,NA,NA,NA,9.4718623653,21.97,9.22,2.37
